Date,Market,Arrivals,Unit of Arrivals,Variety,Minimum Prices,Maximum Prices,Modal Prices,Unit of Price,Variety
02-09-2024,Hansi,0.1,Tonnes,Other,8000,8000,8000,Rs/Quintal,Peas Wet
02-09-2024,,,,,,,,,
02-09-2024,Faridabad,10,Tonnes,Other,1500,2500,2000,Rs/Quintal,Pointed gourd (Parval)
02-09-2024,Narnaul,0.1,Tonnes,Other,2000,2000,2000,Rs/Quintal,Pointed gourd (Parval)
02-09-2024,,,,,,,,,
02-09-2024,Barwala(Hisar),10,Tonnes,Other,1500,2000,1800,Rs/Quintal,Potato
02-09-2024,Ch. Dadri,5.6,Tonnes,Other,2000,2100,2050,Rs/Quintal,Potato
02-09-2024,Cheeka,2,Tonnes,Other,1800,2000,1900,Rs/Quintal,Potato
02-09-2024,Dhand,0.5,Tonnes,Other,2000,2200,2100,Rs/Quintal,Potato
02-09-2024,Farukh Nagar,3.1,Tonnes,Other,1500,2500,1500,Rs/Quintal,Potato
02-09-2024,Ganaur,2.5,Tonnes,Potato,2000,2500,2200,Rs/Quintal,Potato
02-09-2024,Gohana,16.5,Tonnes,Other,1500,2600,2500,Rs/Quintal,Potato
02-09-2024,Gurgaon,186.6,Tonnes,Other,1500,2000,1750,Rs/Quintal,Potato
02-09-2024,Hansi,27.4,Tonnes,Other,2000,3500,2000,Rs/Quintal,Potato
02-09-2024,Hissar,51.4,Tonnes,Other,1800,2600,2300,Rs/Quintal,Potato
